Series id,Year,Period,Value
LNS14000000,1990,M01,5.4
LNS14000000,1990,M02,5.3
LNS14000000,1990,M03,5.2
LNS14000000,1990,M04,5.4
LNS14000000,1990,M05,5.4
LNS14000000,1990,M06,5.2
LNS14000000,1990,M07,5.5
LNS14000000,1990,M08,5.7
LNS14000000,1990,M09,5.9
LNS14000000,1990,M10,5.9
LNS14000000,1990,M11,6.2
LNS14000000,1990,M12,6.3
LNS14000000,1991,M01,6.4
LNS14000000,1991,M02,6.6
LNS14000000,1991,M03,6.8
LNS14000000,1991,M04,6.7
LNS14000000,1991,M05,6.9
LNS14000000,1991,M06,6.9
LNS14000000,1991,M07,6.8
LNS14000000,1991,M08,6.9
LNS14000000,1991,M09,6.9
LNS14000000,1991,M10,7.0
LNS14000000,1991,M11,7.0
LNS14000000,1991,M12,7.3
LNS14000000,1992,M01,7.3
LNS14000000,1992,M02,7.4
LNS14000000,1992,M03,7.4
LNS14000000,1992,M04,7.4
LNS14000000,1992,M05,7.6
LNS14000000,1992,M06,7.8
LNS14000000,1992,M07,7.7
LNS14000000,1992,M08,7.6
LNS14000000,1992,M09,7.6
LNS14000000,1992,M10,7.3
LNS14000000,1992,M11,7.4
LNS14000000,1992,M12,7.4
LNS14000000,1993,M01,7.3
LNS14000000,1993,M02,7.1
LNS14000000,1993,M03,7.0
LNS14000000,1993,M04,7.1
LNS14000000,1993,M05,7.1
LNS14000000,1993,M06,7.0
LNS14000000,1993,M07,6.9
LNS14000000,1993,M08,6.8
LNS14000000,1993,M09,6.7
LNS14000000,1993,M10,6.8
LNS14000000,1993,M11,6.6
LNS14000000,1993,M12,6.5
LNS14000000,1994,M01,6.6
LNS14000000,1994,M02,6.6
LNS14000000,1994,M03,6.5
LNS14000000,1994,M04,6.4
LNS14000000,1994,M05,6.1
LNS14000000,1994,M06,6.1
LNS14000000,1994,M07,6.1
LNS14000000,1994,M08,6.0
LNS14000000,1994,M09,5.9
LNS14000000,1994,M10,5.8
LNS14000000,1994,M11,5.6
LNS14000000,1994,M12,5.5
LNS14000000,1995,M01,5.6
LNS14000000,1995,M02,5.4
LNS14000000,1995,M03,5.4
LNS14000000,1995,M04,5.8
LNS14000000,1995,M05,5.6
LNS14000000,1995,M06,5.6
LNS14000000,1995,M07,5.7
LNS14000000,1995,M08,5.7
LNS14000000,1995,M09,5.6
LNS14000000,1995,M10,5.5
LNS14000000,1995,M11,5.6
LNS14000000,1995,M12,5.6
LNS14000000,1996,M01,5.6
LNS14000000,1996,M02,5.5
LNS14000000,1996,M03,5.5
LNS14000000,1996,M04,5.6
LNS14000000,1996,M05,5.6
LNS14000000,1996,M06,5.3
LNS14000000,1996,M07,5.5
LNS14000000,1996,M08,5.1
LNS14000000,1996,M09,5.2
LNS14000000,1996,M10,5.2
LNS14000000,1996,M11,5.4
LNS14000000,1996,M12,5.4
LNS14000000,1997,M01,5.3
LNS14000000,1997,M02,5.2
LNS14000000,1997,M03,5.2
LNS14000000,1997,M04,5.1
LNS14000000,1997,M05,4.9
LNS14000000,1997,M06,5.0
LNS14000000,1997,M07,4.9
LNS14000000,1997,M08,4.8
LNS14000000,1997,M09,4.9
LNS14000000,1997,M10,4.7
LNS14000000,1997,M11,4.6
LNS14000000,1997,M12,4.7
LNS14000000,1998,M01,4.6
LNS14000000,1998,M02,4.6
LNS14000000,1998,M03,4.7
LNS14000000,1998,M04,4.3
LNS14000000,1998,M05,4.4
LNS14000000,1998,M06,4.5
LNS14000000,1998,M07,4.5
LNS14000000,1998,M08,4.5
LNS14000000,1998,M09,4.6
LNS14000000,1998,M10,4.5
LNS14000000,1998,M11,4.4
LNS14000000,1998,M12,4.4
LNS14000000,1999,M01,4.3
LNS14000000,1999,M02,4.4
LNS14000000,1999,M03,4.2
LNS14000000,1999,M04,4.3
LNS14000000,1999,M05,4.2
LNS14000000,1999,M06,4.3
LNS14000000,1999,M07,4.3
LNS14000000,1999,M08,4.2
LNS14000000,1999,M09,4.2
LNS14000000,1999,M10,4.1
LNS14000000,1999,M11,4.1
LNS14000000,1999,M12,4.0
LNS14000000,2000,M01,4.0
LNS14000000,2000,M02,4.1
LNS14000000,2000,M03,4.0
LNS14000000,2000,M04,3.8
LNS14000000,2000,M05,4.0
LNS14000000,2000,M06,4.0
LNS14000000,2000,M07,4.0
LNS14000000,2000,M08,4.1
LNS14000000,2000,M09,3.9
LNS14000000,2000,M10,3.9
LNS14000000,2000,M11,3.9
LNS14000000,2000,M12,3.9
LNS14000000,2001,M01,4.2
LNS14000000,2001,M02,4.2
LNS14000000,2001,M03,4.3
LNS14000000,2001,M04,4.4
LNS14000000,2001,M05,4.3
LNS14000000,2001,M06,4.5
LNS14000000,2001,M07,4.6
LNS14000000,2001,M08,4.9
LNS14000000,2001,M09,5.0
LNS14000000,2001,M10,5.3
LNS14000000,2001,M11,5.5
LNS14000000,2001,M12,5.7
LNS14000000,2002,M01,5.7
LNS14000000,2002,M02,5.7
LNS14000000,2002,M03,5.7
LNS14000000,2002,M04,5.9
LNS14000000,2002,M05,5.8
LNS14000000,2002,M06,5.8
LNS14000000,2002,M07,5.8
LNS14000000,2002,M08,5.7
LNS14000000,2002,M09,5.7
LNS14000000,2002,M10,5.7
LNS14000000,2002,M11,5.9
LNS14000000,2002,M12,6.0
LNS14000000,2003,M01,5.8
LNS14000000,2003,M02,5.9
LNS14000000,2003,M03,5.9
LNS14000000,2003,M04,6.0
LNS14000000,2003,M05,6.1
LNS14000000,2003,M06,6.3
LNS14000000,2003,M07,6.2
LNS14000000,2003,M08,6.1
LNS14000000,2003,M09,6.1
LNS14000000,2003,M10,6.0
LNS14000000,2003,M11,5.8
LNS14000000,2003,M12,5.7
LNS14000000,2004,M01,5.7
LNS14000000,2004,M02,5.6
LNS14000000,2004,M03,5.8
LNS14000000,2004,M04,5.6
LNS14000000,2004,M05,5.6
LNS14000000,2004,M06,5.6
LNS14000000,2004,M07,5.5
LNS14000000,2004,M08,5.4
LNS14000000,2004,M09,5.4
LNS14000000,2004,M10,5.5
LNS14000000,2004,M11,5.4
LNS14000000,2004,M12,5.4
LNS14000000,2005,M01,5.3
LNS14000000,2005,M02,5.4
LNS14000000,2005,M03,5.2
LNS14000000,2005,M04,5.2
LNS14000000,2005,M05,5.1
LNS14000000,2005,M06,5.0
LNS14000000,2005,M07,5.0
LNS14000000,2005,M08,4.9
LNS14000000,2005,M09,5.0
LNS14000000,2005,M10,5.0
LNS14000000,2005,M11,5.0
LNS14000000,2005,M12,4.9
LNS14000000,2006,M01,4.7
LNS14000000,2006,M02,4.8
LNS14000000,2006,M03,4.7
LNS14000000,2006,M04,4.7
LNS14000000,2006,M05,4.6
LNS14000000,2006,M06,4.6
LNS14000000,2006,M07,4.7
LNS14000000,2006,M08,4.7
LNS14000000,2006,M09,4.5
LNS14000000,2006,M10,4.4
LNS14000000,2006,M11,4.5
LNS14000000,2006,M12,4.4
LNS14000000,2007,M01,4.6
LNS14000000,2007,M02,4.5
LNS14000000,2007,M03,4.4
LNS14000000,2007,M04,4.5
LNS14000000,2007,M05,4.4
LNS14000000,2007,M06,4.6
LNS14000000,2007,M07,4.7
LNS14000000,2007,M08,4.6
LNS14000000,2007,M09,4.7
LNS14000000,2007,M10,4.7
LNS14000000,2007,M11,4.7
LNS14000000,2007,M12,5.0
LNS14000000,2008,M01,5.0
LNS14000000,2008,M02,4.9
LNS14000000,2008,M03,5.1
LNS14000000,2008,M04,5.0
LNS14000000,2008,M05,5.4
LNS14000000,2008,M06,5.6
LNS14000000,2008,M07,5.8
LNS14000000,2008,M08,6.1
LNS14000000,2008,M09,6.1
LNS14000000,2008,M10,6.5
LNS14000000,2008,M11,6.8
LNS14000000,2008,M12,7.3
LNS14000000,2009,M01,7.8
LNS14000000,2009,M02,8.3
LNS14000000,2009,M03,8.7
LNS14000000,2009,M04,9.0
LNS14000000,2009,M05,9.4
LNS14000000,2009,M06,9.5
LNS14000000,2009,M07,9.5
LNS14000000,2009,M08,9.6
LNS14000000,2009,M09,9.8
LNS14000000,2009,M10,10.0
LNS14000000,2009,M11,9.9
LNS14000000,2009,M12,9.9
LNS14000000,2010,M01,9.8
LNS14000000,2010,M02,9.8
LNS14000000,2010,M03,9.9
LNS14000000,2010,M04,9.9
LNS14000000,2010,M05,9.6
LNS14000000,2010,M06,9.4
LNS14000000,2010,M07,9.4
LNS14000000,2010,M08,9.5
LNS14000000,2010,M09,9.5
LNS14000000,2010,M10,9.4
LNS14000000,2010,M11,9.8
LNS14000000,2010,M12,9.3
LNS14000000,2011,M01,9.1
LNS14000000,2011,M02,9.0
LNS14000000,2011,M03,9.0
LNS14000000,2011,M04,9.1
LNS14000000,2011,M05,9.0
LNS14000000,2011,M06,9.1
LNS14000000,2011,M07,9.0
LNS14000000,2011,M08,9.0
LNS14000000,2011,M09,9.0
LNS14000000,2011,M10,8.8
LNS14000000,2011,M11,8.6
LNS14000000,2011,M12,8.5
LNS14000000,2012,M01,8.3
LNS14000000,2012,M02,8.3
LNS14000000,2012,M03,8.2
LNS14000000,2012,M04,8.2
LNS14000000,2012,M05,8.2
LNS14000000,2012,M06,8.2
LNS14000000,2012,M07,8.2
LNS14000000,2012,M08,8.1
LNS14000000,2012,M09,7.8
LNS14000000,2012,M10,7.8
LNS14000000,2012,M11,7.7
LNS14000000,2012,M12,7.9
LNS14000000,2013,M01,8.0
LNS14000000,2013,M02,7.7
LNS14000000,2013,M03,7.5
LNS14000000,2013,M04,7.6
LNS14000000,2013,M05,7.5
LNS14000000,2013,M06,7.5
LNS14000000,2013,M07,7.3
LNS14000000,2013,M08,7.3
LNS14000000,2013,M09,7.2
LNS14000000,2013,M10,7.2
LNS14000000,2013,M11,6.9
LNS14000000,2013,M12,6.7
LNS14000000,2014,M01,6.6
LNS14000000,2014,M02,6.7
LNS14000000,2014,M03,6.7
LNS14000000,2014,M04,6.2
LNS14000000,2014,M05,6.3
LNS14000000,2014,M06,6.1
LNS14000000,2014,M07,6.2
LNS14000000,2014,M08,6.2
LNS14000000,2014,M09,5.9
LNS14000000,2014,M10,5.7
LNS14000000,2014,M11,5.8
LNS14000000,2014,M12,5.6
LNS14000000,2015,M01,5.7
LNS14000000,2015,M02,5.5
LNS14000000,2015,M03,5.4
LNS14000000,2015,M04,5.4
LNS14000000,2015,M05,5.5
LNS14000000,2015,M06,5.3
LNS14000000,2015,M07,5.2
LNS14000000,2015,M08,5.1
LNS14000000,2015,M09,5.0
LNS14000000,2015,M10,5.0
LNS14000000,2015,M11,5.0
LNS14000000,2015,M12,5.0
LNS14000000,2016,M01,4.9
LNS14000000,2016,M02,4.9
LNS14000000,2016,M03,5.0
LNS14000000,2016,M04,5.0
LNS14000000,2016,M05,4.7
LNS14000000,2016,M06,4.9
LNS14000000,2016,M07,4.9
LNS14000000,2016,M08,4.9
LNS14000000,2016,M09,4.9
LNS14000000,2016,M10,4.8
LNS14000000,2016,M11,4.6
LNS14000000,2016,M12,4.7
LNS14000000,2017,M01,4.8
LNS14000000,2017,M02,4.7
LNS14000000,2017,M03,4.5
LNS14000000,2017,M04,4.4

